Reason,Source,Validation,Pages
Not found (404),Website,Not Started,57
Duplicate without user-selected canonical,Website,Not Started,25
Page with redirect,Website,Not Started,18
Excluded by ‘noindex’ tag,Website,Not Started,2
Blocked by robots.txt,Website,Not Started,2
Alternate page with proper canonical tag,Website,Not Started,2
Server error (5xx),Website,Not Started,1
Crawled - currently not indexed,Google systems,Not Started,25
Discovered - currently not indexed,Google systems,Not Started,1
Soft 404,Website,N/A,0